,portfolio_annualized_return,portfolio_annualized_volatility,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_max_drawdown,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_sortino_ratio,benchmark_max_drawdown,rsi_window,stock_combination
695,0.048991998520835356,0.15613471126430975,0.18568579841132693,0.18933278973286058,0.25789649047133406,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('TSLA', 'META', 'GOOGL', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
539,0.04895166749611879,0.1583538921839091,0.18282889733139548,0.18492687742977687,0.2688002158450973,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,30,"('AVGO', 'TSLA', 'META', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
369,0.05062348323026167,0.1680102169178606,0.18227155343316617,0.18527841102846448,0.2390722448954452,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
532,0.055883812573722436,0.19690888199869844,0.18223562192567638,0.18273192296441904,0.30638438825085107,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'META', 'GOOGL', 'GOOG', 'MSFT', 'NVDA')"
411,0.05021049450226922,0.16646092713286995,0.18148700131986562,0.18385290342344915,0.2568393750052699,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'TSLA', 'META', 'GOOG', 'AMZN', 'AAPL', 'NVDA')"
171,0.05082129098386945,0.17067033005461757,0.18058962547272325,0.18476144455829663,0.2634140097434325,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'GOOGL', 'AMZN', 'AAPL', 'NVDA')"
555,0.045527854048442284,0.1424704486993134,0.17917999333545517,0.17872598588088054,0.2193638709198786,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('AVGO', 'TSLA', 'META', 'GOOGL', 'AMZN', 'AAPL', 'NVDA')"
364,0.0553891419473882,0.1989838958807642,0.1778492766499767,0.17812351693362102,0.38501691007176847,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('NFLX', 'TSLA', 'META', 'GOOGL', 'GOOG', 'MSFT', 'NVDA')"
616,0.05488948195565824,0.19747098921746375,0.1766815575995135,0.17689733814179284,0.24706000851914678,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,25,"('AVGO', 'TSLA', 'GOOGL', 'GOOG', 'MSFT', 'AAPL', 'NVDA')"
153,0.05047404553457313,0.17277480681511379,0.17638014532514215,0.18068250141024184,0.2617336960270379,0.10316758221955347,0.1556104428916203,0.5344601600901432,0.5038984437432509,0.19388242072358447,20,"('NFLX', 'AVGO', 'TSLA', 'GOOGL', 'GOOG', 'AAPL', 'NVDA')"
